customer_id,customer_name,age_group,gender,country,purchase_channel
CUST00001,Alan Adams,46-55,Other,Canada,Third-Party Marketplace
CUST00002,Robert Harrison,56+,Female,Canada,Online Store
CUST00003,Bonnie Molina,56+,Female,India,Third-Party Marketplace
CUST00004,Andrew Beasley,56+,Female,Australia,Third-Party Marketplace
CUST00005,Jason Hubbard,36-45,Other,Australia,Retail Store
CUST00006,Benjamin Ward,46-55,Other,United Kingdom,Online Store
CUST00007,Kelly Smith,46-55,Female,India,Carrier Store
CUST00008,Tanya Gonzalez,46-55,Other,United Kingdom,Retail Store
CUST00009,Jacob Moore,56+,Other,United States,Third-Party Marketplace
CUST00010,Juan York,56+,Female,Canada,Third-Party Marketplace
CUST00011,Alexander Alexander,18-25,Other,United Kingdom,Carrier Store
CUST00012,Jason Acevedo,46-55,Female,United States,Retail Store
CUST00013,Michael Hernandez,18-25,Female,India,Third-Party Marketplace
CUST00014,Ryan Lambert,26-35,Female,Canada,Retail Store
CUST00015,Adam Schroeder,26-35,Female,Australia,Online Store
CUST00016,Lauren Ramirez,46-55,Female,United States,Carrier Store
CUST00017,Maurice Nash,18-25,Female,United Kingdom,Carrier Store
CUST00018,Joshua Sanchez,36-45,Male,India,Retail Store
CUST00019,Tracy Murphy,56+,Female,United States,Retail Store
CUST00020,Jonathan Wallace,36-45,Male,Australia,Retail Store
CUST00021,Crystal Boyle,36-45,Female,United Kingdom,Carrier Store
CUST00022,Craig Saunders,46-55,Male,India,Third-Party Marketplace
CUST00023,Wendy Yang,26-35,Female,India,Carrier Store
CUST00024,Amber Cooper,26-35,Male,Canada,Carrier Store
CUST00025,Michelle Reyes,36-45,Male,India,Carrier Store
CUST00026,Valerie Ayers,18-25,Other,India,Online Store
CUST00027,Bradley Farrell,56+,Other,United States,Third-Party Marketplace
CUST00028,Andrew Schultz Jr.,46-55,Other,United Kingdom,Carrier Store
CUST00029,William Wood,56+,Male,Australia,Carrier Store
CUST00030,Carmen Kelly,46-55,Male,Canada,Online Store
CUST00031,Robert Evans,46-55,Male,India,Third-Party Marketplace
CUST00032,Tiffany Gomez,26-35,Other,India,Retail Store
CUST00033,Amber Carroll,56+,Female,United Kingdom,Carrier Store
CUST00034,Katrina Sullivan,36-45,Female,United States,Retail Store
CUST00035,Stacy Blair,36-45,Other,India,Online Store
CUST00036,Gregory Wall,36-45,Female,Australia,Carrier Store
CUST00037,Charles Smith,46-55,Other,Canada,Retail Store
CUST00038,James Reed,18-25,Other,India,Online Store
CUST00039,Autumn Martinez,18-25,Other,United Kingdom,Online Store
CUST00040,Joshua Martinez,46-55,Female,Canada,Carrier Store
CUST00041,Cassandra Harris,26-35,Other,India,Third-Party Marketplace
CUST00042,Courtney Johnson,26-35,Other,India,Online Store
CUST00043,Joseph Hampton,46-55,Female,Canada,Carrier Store
CUST00044,Joanna Thompson,56+,Male,India,Retail Store
CUST00045,Kimberly Parker,46-55,Female,Australia,Carrier Store
CUST00046,Angela Orozco,36-45,Other,Canada,Third-Party Marketplace
CUST00047,Timothy Stewart,56+,Male,United States,Carrier Store
CUST00048,Michael Hebert,26-35,Female,United States,Third-Party Marketplace
CUST00049,Nicole Smith,56+,Other,Australia,Carrier Store
CUST00050,Jesse Odonnell,46-55,Female,United Kingdom,Online Store
CUST00051,Ryan Marshall,46-55,Female,Australia,Carrier Store
CUST00052,Lisa Reed,46-55,Female,India,Third-Party Marketplace
CUST00053,Zachary Jackson,18-25,Female,United Kingdom,Online Store
CUST00054,Jennifer Martinez,18-25,Other,United Kingdom,Carrier Store
CUST00055,Elizabeth Ortega,18-25,Female,Australia,Retail Store
CUST00056,Tiffany Byrd,18-25,Female,United States,Online Store
CUST00057,Christopher Smith,36-45,Female,India,Third-Party Marketplace
CUST00058,Victoria Hicks,26-35,Other,United States,Carrier Store
CUST00059,Robert Lewis,26-35,Male,United Kingdom,Third-Party Marketplace
CUST00060,Susan Jackson,46-55,Male,United States,Third-Party Marketplace
CUST00061,Jennifer Simmons,18-25,Other,United Kingdom,Retail Store
CUST00062,Jessica Garrison,18-25,Male,United Kingdom,Carrier Store
CUST00063,Brittney Lee,18-25,Male,India,Carrier Store
CUST00064,Jeremy Reed,18-25,Male,Canada,Third-Party Marketplace
CUST00065,Mark Smith,26-35,Other,Australia,Third-Party Marketplace
CUST00066,Daniel Zhang,56+,Female,Canada,Online Store
CUST00067,Cynthia Shah,46-55,Other,United Kingdom,Retail Store
CUST00068,Andrea Myers,18-25,Other,India,Third-Party Marketplace
CUST00069,Susan Rodriguez,36-45,Male,Canada,Retail Store
CUST00070,Kaitlyn Thompson,56+,Male,United States,Third-Party Marketplace
CUST00071,Maria Cook,26-35,Male,Canada,Carrier Store
CUST00072,Deborah Allen,26-35,Other,India,Retail Store
CUST00073,Randy Williams,26-35,Male,Australia,Retail Store
CUST00074,Jamie Quinn,56+,Other,United States,Third-Party Marketplace
CUST00075,Troy Anderson,36-45,Male,Canada,Carrier Store
CUST00076,Stephanie Murillo,36-45,Female,India,Third-Party Marketplace
CUST00077,Jenna Church,46-55,Other,India,Third-Party Marketplace
CUST00078,Claudia Porter,36-45,Female,United States,Retail Store
CUST00079,Steven Mcbride,46-55,Other,United Kingdom,Third-Party Marketplace
CUST00080,Brooke Williams,46-55,Female,Australia,Retail Store
CUST00081,Edwin Harris,18-25,Female,United States,Retail Store
CUST00082,Deborah Maynard,56+,Other,India,Retail Store
CUST00083,Michele Savage,36-45,Female,Australia,Third-Party Marketplace
CUST00084,Nicholas Morrison,18-25,Male,United States,Retail Store
CUST00085,Michael Andersen,18-25,Male,India,Carrier Store
CUST00086,Jeremy Clayton,56+,Female,India,Online Store
CUST00087,Peggy Ortiz,26-35,Other,United States,Carrier Store
CUST00088,Daniel Ramsey,26-35,Female,United Kingdom,Retail Store
CUST00089,Jacob Myers,56+,Other,Australia,Retail Store
CUST00090,Kelly Moore,46-55,Female,Australia,Online Store
CUST00091,Pedro Larson,56+,Female,Canada,Carrier Store
CUST00092,Kerry Barrera,26-35,Female,India,Carrier Store
CUST00093,Michael Conley,18-25,Other,Australia,Third-Party Marketplace
CUST00094,Michelle Wolfe,46-55,Female,Australia,Carrier Store
